Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.35     0.00   172232     0.00     0.00  ns3::Time::PeekResolution()
  0.00      1.35     0.00   166850     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      1.35     0.00   156996     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> >::_M_ptr()
  0.00      1.35     0.00   156996     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> >::_M_addr()
  0.00      1.35     0.00   156996     0.00     0.00  std::_Rb_tree_node<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> >::_M_valptr()
  0.00      1.35     0.00   156280     0.00     0.00  std::tuple<ns3::Ptr<ns3::Node> const&>&& std::forward<std::tuple<ns3::Ptr<ns3::Node> const&> >(std::remove_reference<std::tuple<ns3::Ptr<ns3::Node> const&> >::type&)
  0.00      1.35     0.00   151631     0.00     0.00  ns3::NetDevice* ns3::PeekPointer<ns3::NetDevice>(ns3::Ptr<ns3::NetDevice> const&)
  0.00      1.35     0.00   151631     0.00     0.00  ns3::Ptr<ns3::QbbNetDevice>::Ptr(ns3::QbbNetDevice*)
  0.00      1.35     0.00   150976     0.00     0.00  ns3::int64x64_t::int64x64_t(long double)
  0.00      1.35     0.00   150976     0.00     0.00  std::modf(long double, long double*)
  0.00      1.35     0.00   150974     0.00     0.00  ns3::int64x64_t::int64x64_t(double)
  0.00      1.35     0.00   150974     0.00     0.00  ns3::int64x64_t::int64x64_t(long, unsigned long)
  0.00      1.35     0.00   150974     0.00     0.00  ns3::Time::From(ns3::int64x64_t const&, ns3::Time::Unit)
  0.00      1.35     0.00   150974     0.00     0.00  ns3::operator*=(ns3::int64x64_t&, ns3::int64x64_t const&)
  0.00      1.35     0.00   150974     0.00     0.00  ns3::operator+=(ns3::int64x64_t&, ns3::int64x64_t const&)
  0.00      1.35     0.00   150974     0.00     0.00  ns3::int64x64_t::Round() const
  0.00      1.35     0.00   150974     0.00     0.00  ns3::int64x64_t::GetHigh() const
  0.00      1.35     0.00   150587     0.00     0.00  ns3::Time::FromDouble(double, ns3::Time::Unit)
  0.00      1.35     0.00   148044     0.00     0.00  std::_Rb_tree_iterator<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      1.35     0.00   147734     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      1.35     0.00   147734     0.00     0.00  int* std::__copy_move_a1<false, int const*, int*>(int const*, int const*, int*)
  0.00      1.35     0.00   147734     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
